Lambda,Alpha,Delta,PSI,Dose,Size,Number of Fractions,Gamma
0.07,0,0.015,0.92,4.1,0.1,40.99999999999999,0.0
0.07,0,0.015,0.92,8.2,0.2,40.99999999999999,0.0
0.07,0,0.015,0.92,12.3,0.3,41.00000000000001,0.0
0.07,0,0.015,0.92,16.4,0.4,40.99999999999999,0.0
0.07,0,0.015,0.92,20.5,0.5,41.0,0.0
0.07,0,0.015,0.92,24.6,0.6,41.00000000000001,0.0
0.07,0,0.015,0.92,28.7,0.7,41.0,0.0
0.07,0,0.015,0.92,32.8,0.8,40.99999999999999,0.0
0.07,0,0.015,0.92,36.9,0.9,41.0,0.0
0.07,0,0.015,0.92,41.0,1.0,41.0,0.0
0.07,0,0.015,0.92,45.1,1.1,41.0,0.0
0.07,0,0.015,0.92,49.2,1.2,41.00000000000001,0.0
0.07,0,0.015,0.92,53.3,1.3,40.99999999999999,0.0
0.07,0,0.015,0.92,57.4,1.4,41.0,0.0
0.07,0,0.015,0.92,61.5,1.5,41.0,0.0
0.07,0,0.015,0.92,65.6,1.6,40.99999999999999,0.0
0.07,0,0.015,0.92,69.7,1.7,41.0,0.0
0.07,0,0.015,0.92,73.8,1.8,41.0,0.0
0.07,0,0.015,0.92,77.9,1.9,41.00000000000001,0.0
0.07,0,0.015,0.92,82.0,2.0,41.0,0.0
0.07,0,0.015,0.92,86.1,2.1,40.99999999999999,0.0
0.07,0,0.015,0.92,90.2,2.2,41.0,0.0
0.07,0,0.015,0.92,94.3,2.3,41.0,0.0
0.07,0,0.015,0.92,98.4,2.4,41.00000000000001,0.0
0.07,0,0.015,0.92,102.5,2.5,41.0,0.0
0.07,0,0.015,0.92,106.6,2.6,40.99999999999999,0.0
0.07,0,0.015,0.92,110.7,2.7,41.0,0.0
0.07,0,0.015,0.92,114.8,2.8,41.0,0.0
0.07,0,0.015,0.92,118.9,2.9,41.0,0.0
0.07,0,0.015,0.94,3.9,0.1,39.0,0.0
0.07,0,0.015,0.94,7.8,0.2,39.0,0.0
0.07,0,0.015,0.94,11.7,0.3,39.0,0.0
0.07,0,0.015,0.94,15.6,0.4,39.0,0.0
0.07,0,0.015,0.94,19.5,0.5,39.0,0.0
0.07,0,0.015,0.94,23.4,0.6,39.0,0.0
0.07,0,0.015,0.94,27.3,0.7,39.0,0.0
0.07,0,0.015,0.94,31.2,0.8,39.0,0.0
0.07,0,0.015,0.94,35.1,0.9,39.0,0.0
0.07,0,0.015,0.94,39.0,1.0,39.0,0.0
0.07,0,0.015,0.94,42.9,1.1,38.99999999999999,0.0
0.07,0,0.015,0.94,46.8,1.2,39.0,0.0
0.07,0,0.015,0.94,50.7,1.3,39.0,0.0
0.07,0,0.015,0.94,54.6,1.4,39.0,0.0
0.07,0,0.015,0.94,58.5,1.5,39.0,0.0
0.07,0,0.015,0.94,62.4,1.6,39.0,0.0
0.07,0,0.015,0.94,66.3,1.7,39.0,0.0
0.07,0,0.015,0.94,70.2,1.8,39.0,0.0
0.07,0,0.015,0.94,74.1,1.9,39.0,0.0
0.07,0,0.015,0.94,78.0,2.0,39.0,0.0
0.07,0,0.015,0.94,81.9,2.1,39.0,0.0
0.07,0,0.015,0.94,85.8,2.2,38.99999999999999,0.0
0.07,0,0.015,0.94,89.7,2.3,39.00000000000001,0.0
0.07,0,0.015,0.94,93.6,2.4,39.0,0.0
0.07,0,0.015,0.94,97.5,2.5,39.0,0.0
0.07,0,0.015,0.94,101.4,2.6,39.0,0.0
0.07,0,0.015,0.94,105.3,2.7,38.99999999999999,0.0
0.07,0,0.015,0.94,109.2,2.8,39.0,0.0
0.07,0,0.015,0.94,113.1,2.9,39.0,0.0
0.07,0,0.015,0.94,117.0,3.0,39.0,0.0
0.07,0,0.015,0.96,3.7,0.1,37.0,0.0
0.07,0,0.015,0.96,7.4,0.2,37.0,0.0
0.07,0,0.015,0.96,11.1,0.3,37.0,0.0
0.07,0,0.015,0.96,14.8,0.4,37.0,0.0
0.07,0,0.015,0.96,18.5,0.5,37.0,0.0
0.07,0,0.015,0.96,22.2,0.6,37.0,0.0
0.07,0,0.015,0.96,25.9,0.7,37.0,0.0
0.07,0,0.015,0.96,29.6,0.8,37.0,0.0
0.07,0,0.015,0.96,33.3,0.9,36.99999999999999,0.0
0.07,0,0.015,0.96,37.0,1.0,37.0,0.0
0.07,0,0.015,0.96,40.7,1.1,37.0,0.0
0.07,0,0.015,0.96,44.4,1.2,37.0,0.0
0.07,0,0.015,0.96,48.1,1.3,37.0,0.0
0.07,0,0.015,0.96,51.8,1.4,37.0,0.0
0.07,0,0.015,0.96,55.5,1.5,37.0,0.0
0.07,0,0.015,0.96,59.2,1.6,37.0,0.0
0.07,0,0.015,0.96,62.9,1.7,37.0,0.0
0.07,0,0.015,0.96,66.6,1.8,36.99999999999999,0.0
0.07,0,0.015,0.96,70.3,1.9,37.0,0.0
0.07,0,0.015,0.96,74.0,2.0,37.0,0.0
0.07,0,0.015,0.96,77.7,2.1,37.0,0.0
0.07,0,0.015,0.96,81.4,2.2,37.0,0.0
0.07,0,0.015,0.96,85.1,2.3,37.0,0.0
0.07,0,0.015,0.96,88.8,2.4,37.0,0.0
0.07,0,0.015,0.96,92.5,2.5,37.0,0.0
0.07,0,0.015,0.96,96.2,2.6,37.0,0.0
0.07,0,0.015,0.96,99.9,2.7,37.0,0.0
0.07,0,0.015,0.96,103.6,2.8,37.0,0.0
0.07,0,0.015,0.96,107.3,2.9,37.0,0.0
0.07,0,0.015,0.96,111.0,3.0,37.0,0.0
0.07,0,0.015,0.96,114.7,3.1,37.0,0.0
0.07,0,0.015,0.96,118.4,3.2,37.0,0.0
0.07,0,0.015,0.98,3.6,0.1,36.0,0.0
0.07,0,0.015,0.98,7.2,0.2,36.0,0.0
0.07,0,0.015,0.98,10.8,0.3,36.00000000000001,0.0
0.07,0,0.015,0.98,14.4,0.4,36.0,0.0
0.07,0,0.015,0.98,18.0,0.5,36.0,0.0
0.07,0,0.015,0.98,21.6,0.6,36.00000000000001,0.0
0.07,0,0.015,0.98,25.2,0.7,36.0,0.0
0.07,0,0.015,0.98,28.8,0.8,36.0,0.0
0.07,0,0.015,0.98,32.4,0.9,36.0,0.0
0.07,0,0.015,0.98,36.0,1.0,36.0,0.0
0.07,0,0.015,0.98,39.6,1.1,36.0,0.0
0.07,0,0.015,0.98,43.2,1.2,36.00000000000001,0.0
0.07,0,0.015,0.98,46.8,1.3,36.0,0.0
0.07,0,0.015,0.98,50.4,1.4,36.0,0.0
0.07,0,0.015,0.98,54.0,1.5,36.0,0.0
0.07,0,0.015,0.98,57.6,1.6,36.0,0.0
0.07,0,0.015,0.98,61.2,1.7,36.0,0.0
0.07,0,0.015,0.98,64.8,1.8,36.0,0.0
0.07,0,0.015,0.98,68.4,1.9,36.00000000000001,0.0
0.07,0,0.015,0.98,72.0,2.0,36.0,0.0
0.07,0,0.015,0.98,75.6,2.1,35.99999999999999,0.0
0.07,0,0.015,0.98,79.2,2.2,36.0,0.0
0.07,0,0.015,0.98,82.8,2.3,36.0,0.0
0.07,0,0.015,0.98,86.4,2.4,36.00000000000001,0.0
0.07,0,0.015,0.98,90.0,2.5,36.0,0.0
0.07,0,0.015,0.98,93.6,2.6,36.0,0.0
0.07,0,0.015,0.98,97.2,2.7,36.0,0.0
0.07,0,0.015,0.98,100.8,2.8,36.0,0.0
0.07,0,0.015,0.98,104.4,2.9,36.0,0.0
0.07,0,0.015,0.98,108.0,3.0,36.0,0.0
0.07,0,0.015,0.98,111.6,3.1,36.0,0.0
0.07,0,0.015,0.98,115.2,3.2,36.0,0.0
0.07,0,0.015,0.98,118.8,3.3,36.0,0.0
0.07,0,0.02,0.76,4.1,0.1,40.99999999999999,0.0
0.07,0,0.02,0.76,8.2,0.2,40.99999999999999,0.0
0.07,0,0.02,0.76,12.3,0.3,41.00000000000001,0.0
0.07,0,0.02,0.76,16.4,0.4,40.99999999999999,0.0
0.07,0,0.02,0.76,20.5,0.5,41.0,0.0
0.07,0,0.02,0.76,24.6,0.6,41.00000000000001,0.0
0.07,0,0.02,0.76,28.7,0.7,41.0,0.0
0.07,0,0.02,0.76,32.8,0.8,40.99999999999999,0.0
0.07,0,0.02,0.76,36.9,0.9,41.0,0.0
0.07,0,0.02,0.76,41.0,1.0,41.0,0.0
0.07,0,0.02,0.76,45.1,1.1,41.0,0.0
0.07,0,0.02,0.76,49.2,1.2,41.00000000000001,0.0
0.07,0,0.02,0.76,53.3,1.3,40.99999999999999,0.0
0.07,0,0.02,0.76,57.4,1.4,41.0,0.0
0.07,0,0.02,0.76,61.5,1.5,41.0,0.0
0.07,0,0.02,0.76,65.6,1.6,40.99999999999999,0.0
0.07,0,0.02,0.76,69.7,1.7,41.0,0.0
0.07,0,0.02,0.76,73.8,1.8,41.0,0.0
0.07,0,0.02,0.76,77.9,1.9,41.00000000000001,0.0
0.07,0,0.02,0.76,82.0,2.0,41.0,0.0
0.07,0,0.02,0.76,86.1,2.1,40.99999999999999,0.0
0.07,0,0.02,0.76,90.2,2.2,41.0,0.0
0.07,0,0.02,0.76,94.3,2.3,41.0,0.0
0.07,0,0.02,0.76,98.4,2.4,41.00000000000001,0.0
0.07,0,0.02,0.76,102.5,2.5,41.0,0.0
0.07,0,0.02,0.76,106.6,2.6,40.99999999999999,0.0
0.07,0,0.02,0.76,110.7,2.7,41.0,0.0
0.07,0,0.02,0.76,114.8,2.8,41.0,0.0
0.07,0,0.02,0.76,118.9,2.9,41.0,0.0
0.07,0,0.02,0.78,4.1,0.1,40.99999999999999,0.0
0.07,0,0.02,0.78,8.2,0.2,40.99999999999999,0.0
0.07,0,0.02,0.78,12.3,0.3,41.00000000000001,0.0
0.07,0,0.02,0.78,16.4,0.4,40.99999999999999,0.0
0.07,0,0.02,0.78,20.5,0.5,41.0,0.0
0.07,0,0.02,0.78,24.6,0.6,41.00000000000001,0.0
0.07,0,0.02,0.78,28.7,0.7,41.0,0.0
0.07,0,0.02,0.78,32.8,0.8,40.99999999999999,0.0
0.07,0,0.02,0.78,36.9,0.9,41.0,0.0
0.07,0,0.02,0.78,41.0,1.0,41.0,0.0
0.07,0,0.02,0.78,45.1,1.1,41.0,0.0
0.07,0,0.02,0.78,49.2,1.2,41.00000000000001,0.0
0.07,0,0.02,0.78,53.3,1.3,40.99999999999999,0.0
0.07,0,0.02,0.78,57.4,1.4,41.0,0.0
0.07,0,0.02,0.78,61.5,1.5,41.0,0.0
0.07,0,0.02,0.78,65.6,1.6,40.99999999999999,0.0
0.07,0,0.02,0.78,69.7,1.7,41.0,0.0
0.07,0,0.02,0.78,73.8,1.8,41.0,0.0
0.07,0,0.02,0.78,77.9,1.9,41.00000000000001,0.0
0.07,0,0.02,0.78,82.0,2.0,41.0,0.0
0.07,0,0.02,0.78,86.1,2.1,40.99999999999999,0.0
0.07,0,0.02,0.78,90.2,2.2,41.0,0.0
0.07,0,0.02,0.78,94.3,2.3,41.0,0.0
0.07,0,0.02,0.78,98.4,2.4,41.00000000000001,0.0
0.07,0,0.02,0.78,102.5,2.5,41.0,0.0
0.07,0,0.02,0.78,106.6,2.6,40.99999999999999,0.0
0.07,0,0.02,0.78,110.7,2.7,41.0,0.0
0.07,0,0.02,0.78,114.8,2.8,41.0,0.0
0.07,0,0.02,0.78,118.9,2.9,41.0,0.0
0.07,0,0.02,0.8,4.0,0.1,40.0,0.0
0.07,0,0.02,0.8,8.0,0.2,40.0,0.0
0.07,0,0.02,0.8,12.0,0.3,40.0,0.0
0.07,0,0.02,0.8,16.0,0.4,40.0,0.0
0.07,0,0.02,0.8,20.0,0.5,40.0,0.0
0.07,0,0.02,0.8,24.0,0.6,40.0,0.0
0.07,0,0.02,0.8,28.0,0.7,40.0,0.0
0.07,0,0.02,0.8,32.0,0.8,40.0,0.0
0.07,0,0.02,0.8,36.0,0.9,40.0,0.0
0.07,0,0.02,0.8,40.0,1.0,40.0,0.0
0.07,0,0.02,0.8,44.0,1.1,40.0,0.0
0.07,0,0.02,0.8,48.0,1.2,40.0,0.0
0.07,0,0.02,0.8,52.0,1.3,40.0,0.0
0.07,0,0.02,0.8,56.0,1.4,40.0,0.0
0.07,0,0.02,0.8,60.0,1.5,40.0,0.0
0.07,0,0.02,0.8,64.0,1.6,40.0,0.0
0.07,0,0.02,0.8,68.0,1.7,40.0,0.0
0.07,0,0.02,0.8,72.0,1.8,40.0,0.0
0.07,0,0.02,0.8,76.0,1.9,40.0,0.0
0.07,0,0.02,0.8,80.0,2.0,40.0,0.0
0.07,0,0.02,0.8,84.0,2.1,40.0,0.0
0.07,0,0.02,0.8,88.0,2.2,40.0,0.0
0.07,0,0.02,0.8,92.0,2.3,40.0,0.0
0.07,0,0.02,0.8,96.0,2.4,40.0,0.0
0.07,0,0.02,0.8,100.0,2.5,40.0,0.0
0.07,0,0.02,0.8,104.0,2.6,40.0,0.0
0.07,0,0.02,0.8,108.0,2.7,40.0,0.0
0.07,0,0.02,0.8,112.0,2.8,40.0,0.0
0.07,0,0.02,0.8,116.0,2.9,40.0,0.0
0.07,0,0.02,0.82,3.8,0.1,37.99999999999999,0.0
0.07,0,0.02,0.82,7.6,0.2,37.99999999999999,0.0
0.07,0,0.02,0.82,11.4,0.3,38.0,0.0
0.07,0,0.02,0.82,15.2,0.4,37.99999999999999,0.0
0.07,0,0.02,0.82,19.0,0.5,38.0,0.0
0.07,0,0.02,0.82,22.8,0.6,38.0,0.0
0.07,0,0.02,0.82,26.6,0.7,38.00000000000001,0.0
0.07,0,0.02,0.82,30.4,0.8,37.99999999999999,0.0
0.07,0,0.02,0.82,34.2,0.9,38.0,0.0
0.07,0,0.02,0.82,38.0,1.0,38.0,0.0
0.07,0,0.02,0.82,41.8,1.1,37.99999999999999,0.0
0.07,0,0.02,0.82,45.6,1.2,38.0,0.0
0.07,0,0.02,0.82,49.4,1.3,38.0,0.0
0.07,0,0.02,0.82,53.2,1.4,38.00000000000001,0.0
0.07,0,0.02,0.82,57.0,1.5,38.0,0.0
0.07,0,0.02,0.82,60.8,1.6,37.99999999999999,0.0
0.07,0,0.02,0.82,64.6,1.7,38.0,0.0
0.07,0,0.02,0.82,68.4,1.8,38.0,0.0
0.07,0,0.02,0.82,72.2,1.9,38.0,0.0
0.07,0,0.02,0.82,76.0,2.0,38.0,0.0
0.07,0,0.02,0.82,79.8,2.1,38.0,0.0
0.07,0,0.02,0.82,83.6,2.2,37.99999999999999,0.0
0.07,0,0.02,0.82,87.4,2.3,38.00000000000001,0.0
0.07,0,0.02,0.82,91.2,2.4,38.0,0.0
0.07,0,0.02,0.82,95.0,2.5,38.0,0.0
0.07,0,0.02,0.82,98.8,2.6,38.0,0.0
0.07,0,0.02,0.82,102.6,2.7,37.99999999999999,0.0
0.07,0,0.02,0.82,106.4,2.8,38.00000000000001,0.0
0.07,0,0.02,0.82,110.2,2.9,38.0,0.0
0.07,0,0.02,0.82,114.0,3.0,38.0,0.0
0.07,0,0.02,0.82,117.8,3.1,38.0,0.0
0.07,0,0.02,0.84,3.6,0.1,36.0,0.0
0.07,0,0.02,0.84,7.2,0.2,36.0,0.0
0.07,0,0.02,0.84,10.8,0.3,36.00000000000001,0.0
0.07,0,0.02,0.84,14.4,0.4,36.0,0.0
0.07,0,0.02,0.84,18.0,0.5,36.0,0.0
0.07,0,0.02,0.84,21.6,0.6,36.00000000000001,0.0
0.07,0,0.02,0.84,25.2,0.7,36.0,0.0
0.07,0,0.02,0.84,28.8,0.8,36.0,0.0
0.07,0,0.02,0.84,32.4,0.9,36.0,0.0
0.07,0,0.02,0.84,36.0,1.0,36.0,0.0
0.07,0,0.02,0.84,39.6,1.1,36.0,0.0
0.07,0,0.02,0.84,43.2,1.2,36.00000000000001,0.0
0.07,0,0.02,0.84,46.8,1.3,36.0,0.0
0.07,0,0.02,0.84,50.4,1.4,36.0,0.0
0.07,0,0.02,0.84,54.0,1.5,36.0,0.0
0.07,0,0.02,0.84,57.6,1.6,36.0,0.0
0.07,0,0.02,0.84,61.2,1.7,36.0,0.0
0.07,0,0.02,0.84,64.8,1.8,36.0,0.0
0.07,0,0.02,0.84,68.4,1.9,36.00000000000001,0.0
0.07,0,0.02,0.84,72.0,2.0,36.0,0.0
0.07,0,0.02,0.84,75.6,2.1,35.99999999999999,0.0
0.07,0,0.02,0.84,79.2,2.2,36.0,0.0
0.07,0,0.02,0.84,82.8,2.3,36.0,0.0
0.07,0,0.02,0.84,86.4,2.4,36.00000000000001,0.0
0.07,0,0.02,0.84,90.0,2.5,36.0,0.0
0.07,0,0.02,0.84,93.6,2.6,36.0,0.0
0.07,0,0.02,0.84,97.2,2.7,36.0,0.0
0.07,0,0.02,0.84,100.8,2.8,36.0,0.0
0.07,0,0.02,0.84,104.4,2.9,36.0,0.0
0.07,0,0.02,0.84,108.0,3.0,36.0,0.0
0.07,0,0.02,0.84,111.6,3.1,36.0,0.0
0.07,0,0.02,0.84,115.2,3.2,36.0,0.0
0.07,0,0.02,0.84,118.8,3.3,36.0,0.0
0.07,0,0.02,0.86,3.6,0.1,36.0,0.0
0.07,0,0.02,0.86,7.2,0.2,36.0,0.0
0.07,0,0.02,0.86,10.8,0.3,36.00000000000001,0.0
0.07,0,0.02,0.86,14.4,0.4,36.0,0.0
0.07,0,0.02,0.86,18.0,0.5,36.0,0.0
0.07,0,0.02,0.86,21.6,0.6,36.00000000000001,0.0
0.07,0,0.02,0.86,25.2,0.7,36.0,0.0
0.07,0,0.02,0.86,28.8,0.8,36.0,0.0
0.07,0,0.02,0.86,32.4,0.9,36.0,0.0
0.07,0,0.02,0.86,36.0,1.0,36.0,0.0
0.07,0,0.02,0.86,39.6,1.1,36.0,0.0
0.07,0,0.02,0.86,43.2,1.2,36.00000000000001,0.0
0.07,0,0.02,0.86,46.8,1.3,36.0,0.0
0.07,0,0.02,0.86,50.4,1.4,36.0,0.0
0.07,0,0.02,0.86,54.0,1.5,36.0,0.0
0.07,0,0.02,0.86,57.6,1.6,36.0,0.0
0.07,0,0.02,0.86,61.2,1.7,36.0,0.0
0.07,0,0.02,0.86,64.8,1.8,36.0,0.0
0.07,0,0.02,0.86,68.4,1.9,36.00000000000001,0.0
0.07,0,0.02,0.86,72.0,2.0,36.0,0.0
0.07,0,0.02,0.86,75.6,2.1,35.99999999999999,0.0
0.07,0,0.02,0.86,79.2,2.2,36.0,0.0
0.07,0,0.02,0.86,82.8,2.3,36.0,0.0
0.07,0,0.02,0.86,86.4,2.4,36.00000000000001,0.0
0.07,0,0.02,0.86,90.0,2.5,36.0,0.0
0.07,0,0.02,0.86,93.6,2.6,36.0,0.0
0.07,0,0.02,0.86,97.2,2.7,36.0,0.0
0.07,0,0.02,0.86,100.8,2.8,36.0,0.0
0.07,0,0.02,0.86,104.4,2.9,36.0,0.0
0.07,0,0.02,0.86,108.0,3.0,36.0,0.0
0.07,0,0.02,0.86,111.6,3.1,36.0,0.0
0.07,0,0.02,0.86,115.2,3.2,36.0,0.0
0.07,0,0.02,0.86,118.8,3.3,36.0,0.0
0.07,0,0.02,0.88,3.5,0.1,35.0,0.0
0.07,0,0.02,0.88,7.0,0.2,35.0,0.0
0.07,0,0.02,0.88,10.5,0.3,35.0,0.0
0.07,0,0.02,0.88,14.0,0.4,35.0,0.0
0.07,0,0.02,0.88,17.5,0.5,35.0,0.0
0.07,0,0.02,0.88,21.0,0.6,35.0,0.0
0.07,0,0.02,0.88,24.5,0.7,35.0,0.0
0.07,0,0.02,0.88,28.0,0.8,35.0,0.0
0.07,0,0.02,0.88,31.5,0.9,35.0,0.0
0.07,0,0.02,0.88,35.0,1.0,35.0,0.0
0.07,0,0.02,0.88,38.5,1.1,35.0,0.0
0.07,0,0.02,0.88,42.0,1.2,35.0,0.0
0.07,0,0.02,0.88,45.5,1.3,35.0,0.0
0.07,0,0.02,0.88,49.0,1.4,35.0,0.0
0.07,0,0.02,0.88,52.5,1.5,35.0,0.0
0.07,0,0.02,0.88,56.0,1.6,35.0,0.0
0.07,0,0.02,0.88,59.5,1.7,35.0,0.0
0.07,0,0.02,0.88,63.0,1.8,35.0,0.0
0.07,0,0.02,0.88,66.5,1.9,35.0,0.0
0.07,0,0.02,0.88,70.0,2.0,35.0,0.0
0.07,0,0.02,0.88,73.5,2.1,35.0,0.0
0.07,0,0.02,0.88,77.0,2.2,35.0,0.0
0.07,0,0.02,0.88,80.5,2.3,35.0,0.0
0.07,0,0.02,0.88,84.0,2.4,35.0,0.0
0.07,0,0.02,0.88,87.5,2.5,35.0,0.0
0.07,0,0.02,0.88,91.0,2.6,35.0,0.0
0.07,0,0.02,0.88,94.5,2.7,35.0,0.0
0.07,0,0.02,0.88,98.0,2.8,35.0,0.0
0.07,0,0.02,0.88,101.5,2.9,35.0,0.0
0.07,0,0.02,0.88,105.0,3.0,35.0,0.0
0.07,0,0.02,0.88,108.5,3.1,35.0,0.0
0.07,0,0.02,0.88,112.0,3.2,35.0,0.0
0.07,0,0.02,0.88,115.5,3.3,35.0,0.0
0.07,0,0.02,0.88,119.0,3.4,35.0,0.0
0.07,0,0.02,0.9,3.3,0.1,32.99999999999999,0.0
0.07,0,0.02,0.9,6.6,0.2,32.99999999999999,0.0
0.07,0,0.02,0.9,9.9,0.3,33.0,0.0
0.07,0,0.02,0.9,13.2,0.4,32.99999999999999,0.0
0.07,0,0.02,0.9,16.5,0.5,33.0,0.0
0.07,0,0.02,0.9,19.8,0.6,33.0,0.0
0.07,0,0.02,0.9,23.1,0.7,33.00000000000001,0.0
0.07,0,0.02,0.9,26.4,0.8,32.99999999999999,0.0
0.07,0,0.02,0.9,29.7,0.9,33.0,0.0
0.07,0,0.02,0.9,33.0,1.0,33.0,0.0
0.07,0,0.02,0.9,36.3,1.1,32.99999999999999,0.0
0.07,0,0.02,0.9,39.6,1.2,33.0,0.0
0.07,0,0.02,0.9,42.9,1.3,33.0,0.0
0.07,0,0.02,0.9,46.2,1.4,33.00000000000001,0.0
0.07,0,0.02,0.9,49.5,1.5,33.0,0.0
0.07,0,0.02,0.9,52.8,1.6,32.99999999999999,0.0
0.07,0,0.02,0.9,56.1,1.7,33.0,0.0
0.07,0,0.02,0.9,59.4,1.8,33.0,0.0
0.07,0,0.02,0.9,62.7,1.9,33.0,0.0
0.07,0,0.02,0.9,66.0,2.0,33.0,0.0
0.07,0,0.02,0.9,69.3,2.1,33.0,0.0
0.07,0,0.02,0.9,72.6,2.2,32.99999999999999,0.0
0.07,0,0.02,0.9,75.9,2.3,33.00000000000001,0.0
0.07,0,0.02,0.9,79.2,2.4,33.0,0.0
0.07,0,0.02,0.9,82.5,2.5,33.0,0.0
0.07,0,0.02,0.9,85.8,2.6,33.0,0.0
0.07,0,0.02,0.9,89.1,2.7,32.99999999999999,0.0
0.07,0,0.02,0.9,92.4,2.8,33.00000000000001,0.0
0.07,0,0.02,0.9,95.7,2.9,33.0,0.0
0.07,0,0.02,0.9,99.0,3.0,33.0,0.0
0.07,0,0.02,0.9,102.3,3.1,33.0,0.0
0.07,0,0.02,0.9,105.6,3.2,32.99999999999999,0.0
0.07,0,0.02,0.9,108.9,3.3,33.0,0.0
0.07,0,0.02,0.9,112.2,3.4,33.0,0.0
0.07,0,0.02,0.9,115.5,3.5,33.0,0.0
0.07,0,0.02,0.9,118.8,3.6,33.0,0.0
0.07,0,0.02,0.92,3.2,0.1,32.0,0.0
0.07,0,0.02,0.92,6.4,0.2,32.0,0.0
0.07,0,0.02,0.92,9.6,0.3,32.0,0.0
0.07,0,0.02,0.92,12.8,0.4,32.0,0.0
0.07,0,0.02,0.92,16.0,0.5,32.0,0.0
0.07,0,0.02,0.92,19.2,0.6,32.0,0.0
0.07,0,0.02,0.92,22.4,0.7,32.0,0.0
0.07,0,0.02,0.92,25.6,0.8,32.0,0.0
0.07,0,0.02,0.92,28.8,0.9,32.0,0.0
0.07,0,0.02,0.92,32.0,1.0,32.0,0.0
0.07,0,0.02,0.92,35.2,1.1,32.0,0.0
0.07,0,0.02,0.92,38.4,1.2,32.0,0.0
0.07,0,0.02,0.92,41.6,1.3,32.0,0.0
0.07,0,0.02,0.92,44.8,1.4,32.0,0.0
0.07,0,0.02,0.92,48.0,1.5,32.0,0.0
0.07,0,0.02,0.92,51.2,1.6,32.0,0.0
0.07,0,0.02,0.92,54.4,1.7,32.0,0.0
0.07,0,0.02,0.92,57.6,1.8,32.0,0.0
0.07,0,0.02,0.92,60.8,1.9,32.0,0.0
0.07,0,0.02,0.92,64.0,2.0,32.0,0.0
0.07,0,0.02,0.92,67.2,2.1,32.0,0.0
0.07,0,0.02,0.92,70.4,2.2,32.0,0.0
0.07,0,0.02,0.92,73.6,2.3,32.0,0.0
0.07,0,0.02,0.92,76.8,2.4,32.0,0.0
0.07,0,0.02,0.92,80.0,2.5,32.0,0.0
0.07,0,0.02,0.92,83.2,2.6,32.0,0.0
0.07,0,0.02,0.92,86.4,2.7,32.0,0.0
0.07,0,0.02,0.92,89.6,2.8,32.0,0.0
0.07,0,0.02,0.92,92.8,2.9,32.0,0.0
0.07,0,0.02,0.92,96.0,3.0,32.0,0.0
0.07,0,0.02,0.92,99.2,3.1,32.0,0.0
0.07,0,0.02,0.92,102.4,3.2,32.0,0.0
0.07,0,0.02,0.92,105.6,3.3,32.0,0.0
0.07,0,0.02,0.92,108.8,3.4,32.0,0.0
0.07,0,0.02,0.92,112.0,3.5,32.0,0.0
0.07,0,0.02,0.92,115.2,3.6,32.0,0.0
0.07,0,0.02,0.92,118.4,3.7,32.0,0.0
0.07,0,0.02,0.94,3.1,0.1,31.0,0.0
0.07,0,0.02,0.94,6.2,0.2,31.0,0.0
0.07,0,0.02,0.94,9.3,0.3,31.000000000000004,0.0
0.07,0,0.02,0.94,12.4,0.4,31.0,0.0
0.07,0,0.02,0.94,15.5,0.5,31.0,0.0
0.07,0,0.02,0.94,18.6,0.6,31.000000000000004,0.0
0.07,0,0.02,0.94,21.7,0.7,31.0,0.0
0.07,0,0.02,0.94,24.8,0.8,31.0,0.0
0.07,0,0.02,0.94,27.9,0.9,30.999999999999996,0.0
0.07,0,0.02,0.94,31.0,1.0,31.0,0.0
0.07,0,0.02,0.94,34.1,1.1,31.0,0.0
0.07,0,0.02,0.94,37.2,1.2,31.000000000000004,0.0
0.07,0,0.02,0.94,40.3,1.3,30.999999999999996,0.0
0.07,0,0.02,0.94,43.4,1.4,31.0,0.0
0.07,0,0.02,0.94,46.5,1.5,31.0,0.0
0.07,0,0.02,0.94,49.6,1.6,31.0,0.0
0.07,0,0.02,0.94,52.7,1.7,31.000000000000004,0.0
0.07,0,0.02,0.94,55.8,1.8,30.999999999999996,0.0
0.07,0,0.02,0.94,58.9,1.9,31.0,0.0
0.07,0,0.02,0.94,62.0,2.0,31.0,0.0
0.07,0,0.02,0.94,65.1,2.1,30.999999999999996,0.0
0.07,0,0.02,0.94,68.2,2.2,31.0,0.0
0.07,0,0.02,0.94,71.3,2.3,31.0,0.0
0.07,0,0.02,0.94,74.4,2.4,31.000000000000004,0.0
0.07,0,0.02,0.94,77.5,2.5,31.0,0.0
0.07,0,0.02,0.94,80.6,2.6,30.999999999999996,0.0
0.07,0,0.02,0.94,83.7,2.7,31.0,0.0
0.07,0,0.02,0.94,86.8,2.8,31.0,0.0
0.07,0,0.02,0.94,89.9,2.9,31.000000000000004,0.0
0.07,0,0.02,0.94,93.0,3.0,31.0,0.0
0.07,0,0.02,0.94,96.1,3.1,30.999999999999996,0.0
0.07,0,0.02,0.94,99.2,3.2,31.0,0.0
0.07,0,0.02,0.94,102.3,3.3,31.0,0.0
0.07,0,0.02,0.94,105.4,3.4,31.000000000000004,0.0
0.07,0,0.02,0.94,108.5,3.5,31.0,0.0
0.07,0,0.02,0.94,111.6,3.6,30.999999999999996,0.0
